1966............,"378,406 1,977.9",,"56,942 297.6",,897 4.7,"4,078 21.3","22,315 116.6","29,652 155.0","321,464 1,680.2","234,535 1,225.9","86,929 454.4"
1965............,"351,291 1,873.0",,"51,672 275.5",,892 4.8,"3,637 19.4","21,055 112.3","26,088 139.1","299,619 1,597.5","218,078 1,162.7","81,541 434.7"
1964............,"314,763 1,726.2",,"47,820 262.3",,758 4.2,"3,358 18.4","18,746 102.8","24,958 136.9","266,943 1,464.0","191,150 1,048.3","75,793 415.7"
1963............,"277,628 1,570.7",,"42,362 239.7",,656 3.7,"3,058 17.3","16,476 93.2","22,172 125.4","235,266 1,331.1","171,549 970.6","63,717 360.5"
1962............,"251,765 1,477.1",,"39,842 233.8",,671 3.9,"2,918 17.1","15,595 91.5","20,658 121.2","211,923 1,243.4","154,564 906.9","57,359 336.5"
1961............,"233,836 1,421.9",,"38,304 232.9",,609 3.7,"2,970 18.1","14,852 90.3","19,873 120.8","195,532 1,189.0","143,546 872.9","51,986 316.1"
1960............,"228,668 1,441.8",,"37,686 237.6",,620 3.9,"2,806 17.7","15,265 96.2","18,995 119.8","190,982 1,204.2","139,793 881.4","51,189 322.8"
1959............,"183,508 1,201.0",,"31,676 207.3",,515 3.4,"2,813 18.4","11,548 75.6","16,800 109.9","151,832 993.7","108,002 706.8","43,830 286.8"
1958............,"189,827 1,286.8",,"32,212 218.4",,547 3.7,"2,865 19.4","12,617 85.5","16,183 109.7","157,615 1,068.4","111,383 755.0","46,232 313.4"
1957............,"176,716 1,245.4",,"30,030 211.6",,497 3.5,"2,602 18.3","11,582 81.6","15,349 108.2","146,686 1,033.7","101,508 715.3","45,178 318.4"
1956............,"164,077 1,206.4",,"27,938 205.4",,474 3.5,"3,662 26.9","10,182 74.9","13,620 100.1","136,139 1,001.0","97,609 717.7","38,530 283.3"
1955............,"125,147 960.1",,"22,875 175.5",,417 3.2,"1,862 14.3","9,162 70.3","11,434 87.7","102,272 784.6","72,426 555.6","29,846 229.0"
1954............,"120,379 955.8",,"22,170 176.0",,419 3.3,"2,187 17.4","10,542 83.7","9,022 71.6","98,209 779.7","72,002 571.7","26,207 208.1"
1953............,"125,530 1,037.4",,"21,245 175.6",,276 2.3,"2,136 17.7","10,503 86.8","8,330 68.8","104,285 861.8","75,313 622.4","28,972 239.4"
1952............,"104,523 898.1",,"17,818 153.1",,279 2.4,"1,941 16.7","8,586 73.8","7,012 60.3","86,705 745.0","60,487 519.7","26,218 225.3"
